time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1762759287388000000,2.012,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759289388000000,4.012,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759291393000000,6.017,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759293409000000,8.033,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759295409000000,10.033,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759297410000000,12.033999755859377,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759487529000000,202.153,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759687696000000,402.32,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762759887949000000,602.573,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762760088134000000,802.7580002441406,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762760288294000000,1002.9180002441408,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762760488507000000,1203.131,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762760688658000000,1403.2819997558595,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762760888876000000,1603.5,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762761089128000000,1803.752,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762761289327000000,2003.951,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762761489524000000,2204.148,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762761689797000000,2404.421,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762761890070000000,2604.6940002441406,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762762090255000000,2804.879,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762762290540000000,3005.164,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762762490807000000,3205.431,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762762690987000000,3405.611,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762762891042000000,3605.665999755859,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763091057000000,3805.681,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763291117000000,4005.741,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763327125000000,4041.749,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763329127000000,4043.751,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763331133000000,4045.757,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763333137000000,4047.761,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763335137000000,4049.761,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762763337137000000,4051.761,cellular,True,True,,True,,,,,,5g,--
1762763339137000000,4053.761,cellular,True,True,,True,,,,,,5g,--
1762763341137000000,4055.761,cellular,True,True,,True,,,,,,5g,--
1762763343138000000,4057.761999755859,cellular,True,True,,True,,,,,,5g,--
1762763345138000000,4059.761999755859,cellular,True,True,,True,,,,,,5g,--
1762763347138000000,4061.761999755859,cellular,True,True,,True,,,,,,5g,--
1762763491263000000,4205.887,cellular,True,True,,True,,,,,,5g,--
1762763691625000000,4406.249,cellular,True,True,,True,,,,,,5g,--
1762763891903000000,4606.527,cellular,True,True,,True,,,,,,5g,--
1762764092199000000,4806.823,cellular,True,True,,True,,,,,,5g,--
1762764292366000000,5006.990000244141,cellular,True,True,,True,,,,,,5g,--
1762764492682000000,5207.305999755859,cellular,True,True,,True,,,,,,5g,--
