time,seconds_elapsed,steps
1762763075302535200,3789.92653515625,8
1762763077875148300,3792.4991481933594,8
1762763080447762400,3795.071762451172,8
1762763211651425300,3926.275425292969,8
1762763214224053000,3928.848052978515,8
1762763216796682000,3931.4206818847656,8
1762763237377737500,3952.001737548828,8
1762763239950374700,3954.574374755859,17
1762763242523012000,3957.1470122070314,22
1762763245095652600,3959.719652587891,27
1762763247668298800,3962.292298828125,31
1762763250240951600,3964.864951660156,36
1762763252813610500,3967.437610595703,41
1762763255386270000,3970.010270019531,41
1762763257958935300,3972.5829353027343,47
1762763260531608600,3975.155608642578,47
1762763263104294700,3977.7282946777345,51
1762763265676991500,3980.300991455078,58
1762763268249704000,3982.873703857422,62
1762763270822432300,3985.4464323730463,68
1762763273395172600,3988.0191726074218,74
1762763275967919900,3990.591919921875,79
1762763278540671200,3993.1646711425783,84
1762763281113419300,3995.737419189453,89
1762763283686162400,3998.310162353516,93
1762763286258899700,4000.8828996582033,98
1762763288831632100,4003.455632080078,103
1762763291404358700,4006.028358642578,107
1762763293977076000,4008.601075927734,112
1762763296549787100,4011.173787109375,117
1762763299122495200,4013.7464951171874,122
1762763301695200500,4016.319200439453,127
1762763304267901000,4018.891900878906,131
1762763306840598000,4021.464597900391,136
1762763309413288000,4024.037287841797,141
1762763311985973000,4026.6099729003904,145
1762763314558650400,4029.182650390625,150
1762763317131322400,4031.755322265625,155
1762763319703988000,4034.327988037109,160
1762763322276650200,4036.900650146484,165
1762763324849310500,4039.473310546875,170
1762763327421971700,4042.045971679688,175
1762763329994636000,4044.618635986328,179
1762763332567299600,4047.191299560546,184
1762763335139963400,4049.7639633789063,189
1762763337712626400,4052.336626464844,194
1762763340285292000,4054.909291992188,199
1762763342857960700,4057.4819606933593,203
1762763345430631400,4060.054631347656,208
1762763348003300000,4062.627300048828,212
1762763350575970000,4065.199969970703,217
1762763353148638000,4067.772637939453,221
1762763355721305900,4070.345305908203,226
1762763358293969400,4072.917969482422,230
1762763360866626800,4075.490626708985,232
1762763363439281200,4078.06328125,237
1762763366011932700,4080.6359326171873,241
1762763368584578600,4083.208578613281,243
1762763371157218800,4085.78121875,247
1762763373729859000,4088.3538591308593,251
1762763376302499300,4090.926499267578,255
1762763378875139300,4093.499139404297,259
1762763381447778600,4096.071778564453,261
1762763384020417300,4098.644417236328,265
1762763386593055700,4101.217055664062,269
1762763389165694500,4103.7896945800785,273
1762763391738332000,4106.36233178711,275
1762763394310964200,4108.934964111329,279
1762763396883593200,4111.507593261719,283
1762763399456217900,4114.080217773438,285
1762763402028841500,4116.652841552735,289
1762763404601466600,4119.225466552734,291
1762763407174092000,4121.7980920410155,292
1762763409746719700,4124.370719726562,292
1762763412319349000,4126.943348876953,292
1762763414891978500,4129.515978515625,292
1762763417464607200,4132.088607177734,292
1762763420037264100,4134.661264160156,292
1762763422609972500,4137.233972412109,292
1762763461211439000,4175.835439208984,292
1762763463784723700,4178.408723632812,300
