who,what,when,where,why,how,sentence,original_text,chunk_index,field_count,umap_x,umap_y,umap_x_3d,umap_y_3d,umap_z_3d,cluster,color_temporal,hover_text
"CHARLES W ELIOT LLD

, Abel James",,1909,NEW YORK,"sics

WITH INTRODUCTION AND NOTES

EDITED BY

CHARLES W ELIOT LLD

P F COLLIER & SON COMPANY",INTRODUCTION,"CHARLES W ELIOT LLD

, Abel James did something in NEW YORK during 1909 because sics

WITH INTRODUCTION AND NOTES

EDITED BY

CHARLES W ELIOT LLD

P F COLLIER & SON COMPANY by INTRODUCTION","THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN

The Harvard Classics

WITH INTRODUCTION AND NOTES

EDITED BY

CHARLES W ELIOT LLD

P F COLLIER & SON COMPANY
NEW YORK
1909




Navigation

 L...",0,5,9.226498,8.780522,6.1051645,13.543588,2.5196242,0,0,"<b>Who:</b> CHARLES W ELIOT LLD

, Abel James<br><b>What:</b> <br><b>Where:</b> NEW YORK<br><b>When:</b> 1909<br><b>Why:</b> sics

WITH INTRODUCTION AND NOTES

EDITED BY

CHARLES W ELIOT LLD

P F COLLIER & SON COMPANY<br><b>How:</b> INTRODUCTION<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,Publishes number,,,,,Someone Publishes number,"Publishes the first number of ""Poor Richard's Almanac.",0,1,8.802886,10.032254,5.4546337,14.508774,1.9701736,0,0,<b>Who:</b> <br><b>What:</b> Publishes number<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,Proposes Plan,,,"the colonies
 Chief events in Franklin's life",,"Someone Proposes Plan because the colonies
 Chief events in Franklin's life","Proposes a Plan of Union for the colonies
 Chief events in Franklin's life.",0,2,9.698889,7.8573174,5.993098,12.570292,2.65713,0,0,"<b>Who:</b> <br><b>What:</b> Proposes Plan<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> the colonies
 Chief events in Franklin's life<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Benjamin Franklin,born,"January 6, 1706","Milk Street, Boston",born in Milk Street,,"Benjamin Franklin born in Milk Street during January 6, 1706 because born in Milk Street","INTRODUCTORY NOTE

Benjamin Franklin was born in Milk Street, Boston, on January 6, 1706.",0,5,9.6912985,7.867605,6.0171256,12.60674,2.6067817,0,0,"<b>Who:</b> Benjamin Franklin<br><b>What:</b> born<br><b>Where:</b> Milk Street, Boston<br><b>When:</b> January 6, 1706<br><b>Why:</b> born in Milk Street<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"Josiah Franklin, Benjamin",,,,a tallow chandler who married twice,,"Josiah Franklin, Benjamin did something because a tallow chandler who married twice","His father, Josiah Franklin, was a tallow chandler who married twice,
and of his seventeen children Benjamin was the youngest son.",0,2,9.508496,7.643406,6.360616,12.491458,2.582319,0,0,"<b>Who:</b> Josiah Franklin, Benjamin<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a tallow chandler who married twice<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
James,ended,,,"bound apprentice to his
brother James",,"James ended because bound apprentice to his
brother James","His
schooling ended at ten, and at twelve he was bound apprentice to his
brother James, a printer, who published the ""New England Courant.""",0,3,9.151737,8.860793,6.0981426,13.572378,3.0254848,0,0,"<b>Who:</b> James<br><b>What:</b> ended<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> bound apprentice to his
brother James<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,became contributor,,,"for a time its
nominal editor",,"Someone became contributor because for a time its
nominal editor","To
this journal he became a contributor, and later was for a time its
nominal editor.",0,2,8.252481,10.6612015,5.6726475,15.632321,1.6755619,0,0,"<b>Who:</b> <br><b>What:</b> became contributor<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> for a time its
nominal editor<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Benjamin,quarreled,"October, 1723","New York, Philadelphia",,,"Benjamin quarreled in New York during October, 1723","But the brothers quarreled, and Benjamin ran away, going
first to New York, and thence to Philadelphia, where he arrived in
October, 1723.",0,4,9.626259,7.96246,6.0477314,12.644687,2.5481799,0,0,"<b>Who:</b> Benjamin<br><b>What:</b> quarreled<br><b>Where:</b> New York, Philadelphia<br><b>When:</b> October, 1723<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"Keith, Keith, Denman",obtained work,"a few
months","London, Philadelphia",a printer,Keith,"Keith, Keith obtained work in London during a few
months because a printer by Keith","He soon obtained work as a printer, but after a few
months he was induced by Governor Keith to go to London, where, finding
Keith's promises empty, he again worked as a compositor till he was
broug...",0,6,8.926447,8.83769,6.30517,13.390313,3.062701,0,0,"<b>Who:</b> Keith, Keith, Denman<br><b>What:</b> obtained work<br><b>Where:</b> London, Philadelphia<br><b>When:</b> a few
months<br><b>Why:</b> a printer<br><b>How:</b> Keith<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Denman,returned,,,"mer
trade",shortly,"Denman returned because mer
trade by shortly","On Denman's death he returned to his former
trade, and shortly set up a printing house of his own from which he
published ""The Pennsylvania Gazette,"" to which he contributed many
essays, and which ...",0,4,10.566616,10.18512,6.66292,13.391661,4.157461,0,0,"<b>Who:</b> Denman<br><b>What:</b> returned<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> mer
trade<br><b>How:</b> shortly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,began issue,1732,,"is of a large part of his
popular reputation",,"Someone began issue during 1732 because is of a large part of his
popular reputation","In 1732 he began to issue his famous ""Poor Richard's Almanac""
for the enrichment of which he borrowed or composed those pithy
utterances of worldly wisdom which are the basis of a large part of his...",0,3,9.687402,8.8778105,5.532812,13.191276,2.4964352,0,0,"<b>Who:</b> <br><b>What:</b> began issue<br><b>Where:</b> <br><b>When:</b> 1732<br><b>Why:</b> is of a large part of his
popular reputation<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Abraham,printed Sermon,"1758, the year",Colonial America,"ed writing for the
Almanac",,"Abraham printed Sermon in Colonial America during 1758 because ed writing for the
Almanac","In 1758, the year in which he ceased writing for the
Almanac, he printed in it ""Father Abraham's Sermon,"" now regarded as the
most famous piece of literature produced in Colonial America.",0,5,8.51046,9.78784,5.647943,13.953569,1.8746252,0,0,"<b>Who:</b> Abraham<br><b>What:</b> printed Sermon<br><b>Where:</b> Colonial America<br><b>When:</b> 1758, the year<br><b>Why:</b> ed writing for the
Almanac<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,concerning himself,,,"concerning himself more and more with public
affairs",affairs,"Someone concerning himself because concerning himself more and more with public
affairs by affairs","Meantime Franklin was concerning himself more and more with public
affairs.",0,3,8.959534,11.770481,5.8568263,16.058224,2.68727,0,0,"<b>Who:</b> <br><b>What:</b> concerning himself<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> concerning himself more and more with public
affairs<br><b>How:</b> affairs<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,set scheme,,,"taken up later
and finally developed into the University of Pennsylvania; and he
founded an ""Ameri",finally,"Someone set scheme because taken up later
and finally developed into the University of Pennsylvania; and he
founded an ""Ameri by finally","He set forth a scheme for an Academy, which was taken up later
and finally developed into the University of Pennsylvania; and he
founded an ""American Philosophical Society"" for the purpose of enabli...",0,3,10.008076,8.591822,5.5602593,13.249191,3.1430244,0,0,"<b>Who:</b> <br><b>What:</b> set scheme<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> taken up later
and finally developed into the University of Pennsylvania; and he
founded an ""Ameri<br><b>How:</b> finally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,begun researches,,,,inquiries,Someone begun researches by inquiries,"He
himself had already begun his electrical researches, which, with other
scientific inquiries, he carried on in the intervals of money-making and
politics to the end of his life.",0,2,9.545096,12.102542,5.0904784,16.757114,2.7313983,0,0,<b>Who:</b> <br><b>What:</b> begun researches<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> inquiries<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,sold business,1748,Europe,,learned,Someone sold business in Europe during 1748 by learned,"In 1748 he sold his business in order
to get leisure for study, having now acquired comparative wealth; and in
a few years he had made discoveries that gave him a reputation with the
learned throug...",0,4,9.559318,9.541841,5.1870885,14.002924,2.576758,0,0,<b>Who:</b> <br><b>What:</b> sold business<br><b>Where:</b> Europe<br><b>When:</b> 1748<br><b>Why:</b> <br><b>How:</b> learned<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,proved,,,"an
administrator and as a controversialist; but his record as an
office-holder is stained by the u",use,"Someone proved because an
administrator and as a controversialist; but his record as an
office-holder is stained by the u by use","In politics he proved very able both as an
administrator and as a controversialist; but his record as an
office-holder is stained by the use he made of his position to advance
his relatives.",0,3,8.828216,11.082446,5.747021,15.40253,2.4743223,0,0,"<b>Who:</b> <br><b>What:</b> proved<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> an
administrator and as a controversialist; but his record as an
office-holder is stained by the u<br><b>How:</b> use<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,sent,"1757, five years",England,"sent to England to
protest against the influence of the Penns in the government of the
colony",,"Someone sent in England during 1757 because sent to England to
protest against the influence of the Penns in the government of the
colony","In 1757 he was sent to England to
protest against the influence of the Penns in the government of the
colony, and for five years he remained there, striving to enlighten the
people and the ministry...",0,4,9.947039,8.945007,5.2752843,13.259773,2.7991285,0,0,"<b>Who:</b> <br><b>What:</b> sent<br><b>Where:</b> England<br><b>When:</b> 1757, five years<br><b>Why:</b> sent to England to
protest against the influence of the Penns in the government of the
colony<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Paxton,played part,1764,"America, England","sembly; but in 1764 he was again
despatched to England as agent for the colony",which,"Paxton played part in America during 1764 because sembly; but in 1764 he was again
despatched to England as agent for the colony by which","On his
return to America he played an honorable part in the Paxton affair,
through which he lost his seat in the Assembly; but in 1764 he was again
despatched to England as agent for the colony, th...",0,6,9.72778,8.677741,5.57991,13.255644,2.9279997,0,0,"<b>Who:</b> Paxton<br><b>What:</b> played part<br><b>Where:</b> America, England<br><b>When:</b> 1764<br><b>Why:</b> sembly; but in 1764 he was again
despatched to England as agent for the colony<br><b>How:</b> which<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,opposed Act,,"London, America","this and much of his popularity through his securing for a friend
the office of stamp agent in Amer",actively,"Someone opposed Act in London because this and much of his popularity through his securing for a friend
the office of stamp agent in Amer by actively","In
London he actively opposed the proposed Stamp Act, but lost the credit
for this and much of his popularity through his securing for a friend
the office of stamp agent in America.",0,4,9.760452,9.490902,5.388328,13.7891655,3.1839828,0,0,"<b>Who:</b> <br><b>What:</b> opposed Act<br><b>Where:</b> London, America<br><b>When:</b> <br><b>Why:</b> this and much of his popularity through his securing for a friend
the office of stamp agent in Amer<br><b>How:</b> actively<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,left him,,Colonies,"e for the Colonies as the
troubles thickened toward the crisis of the Revolution",,"Someone left him in Colonies because e for the Colonies as the
troubles thickened toward the crisis of the Revolution","Even his effective work in helping
to obtain the repeal of the act left him still a suspect; but he
continued his efforts to present the case for the Colonies as the
troubles thickened toward the c...",0,3,9.929091,8.905317,5.43658,13.134854,2.7851498,0,0,"<b>Who:</b> <br><b>What:</b> left him<br><b>Where:</b> Colonies<br><b>When:</b> <br><b>Why:</b> e for the Colonies as the
troubles thickened toward the crisis of the Revolution<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Oliver,crossed,"1767, 1775","France, Massachusetts","received with honor; but before his
return home in 1775 he lost his position as postmaster through ",honor,"Oliver crossed in France during 1767 because received with honor; but before his
return home in 1775 he lost his position as postmaster through  by honor","In 1767 he
crossed to France, where he was received with honor; but before his
return home in 1775 he lost his position as postmaster through his share
in divulging to Massachusetts the famous lett...",0,6,9.984862,8.892673,5.277043,13.170193,2.7807226,0,0,"<b>Who:</b> Oliver<br><b>What:</b> crossed<br><b>Where:</b> France, Massachusetts<br><b>When:</b> 1767, 1775<br><b>Why:</b> received with honor; but before his
return home in 1775 he lost his position as postmaster through <br><b>How:</b> honor<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,chosen member,1777,"Philadelphia, France, the United States","chosen a member of the
Continental Congress",,"Someone chosen member in Philadelphia during 1777 because chosen a member of the
Continental Congress","On his arrival in Philadelphia he was chosen a member of the
Continental Congress, and in 1777 he was despatched to France as
commissioner for the United States.",0,4,9.835107,8.406672,5.5509715,12.792744,2.637213,0,0,"<b>Who:</b> <br><b>What:</b> chosen member<br><b>Where:</b> Philadelphia, France, the United States<br><b>When:</b> 1777<br><b>Why:</b> chosen a member of the
Continental Congress<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,remained,1785,Washington,"hington as the champion of American
independence",success,"Someone remained in Washington during 1785 because hington as the champion of American
independence by success","Here he remained till 1785, the
favorite of French society; and with such success did he conduct the
affairs of his country that when he finally returned he received a place
only second to that of ...",0,5,9.895232,8.653408,5.4856334,12.850293,2.5584502,0,0,"<b>Who:</b> <br><b>What:</b> remained<br><b>Where:</b> Washington<br><b>When:</b> 1785<br><b>Why:</b> hington as the champion of American
independence<br><b>How:</b> success<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
